Date,new_cases
8/19/2021,34429
8/20/2021,33827.57143
8/21/2021,33094
8/22/2021,31970.42857
8/23/2021,32013.42857
8/24/2021,32358.42857
8/25/2021,33753.14286
8/26/2021,34908.42857
8/27/2021,36665.85714
8/28/2021,38685.14286
8/29/2021,41233.28571
8/30/2021,42015.28571
8/31/2021,42639.85714
9/1/2021,42772.42857
9/2/2021,42871.57143
9/3/2021,42280
9/4/2021,41949
9/5/2021,41383.14286
9/6/2021,41423.28571
9/7/2021,40839
9/8/2021,40292
9/9/2021,38809.28571
9/10/2021,37489
9/11/2021,35464
9/12/2021,33793.42857
9/13/2021,32962.28571
9/14/2021,31433.85714
9/15/2021,29620.57143
9/16/2021,29539.14286
9/17/2021,29865.71429
9/18/2021,30177.42857
9/19/2021,30606.28571
9/20/2021,30707.85714
9/21/2021,30677.57143
9/22/2021,30870.85714
9/23/2021,30439.28571
9/24/2021,29575.57143
9/25/2021,29226
9/26/2021,28623.85714
9/27/2021,27578.14286
9/28/2021,26421.85714
9/29/2021,25222.71429
9/30/2021,24557.71429
10/1/2021,23806
10/2/2021,23022.57143
